solv1_smiles,solv2_smiles,solv1,solv2,surface_tension,total_C,solv1_x,solv2_x,C
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],1,0,27.495,0.005,1,0,-2.301029996
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1,0,31.45,0.005,1,0,-2.301029996
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,1,0,28.64,0.005,1,0,-2.301029996
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],1,0,27.81,0.001,1,0,-3
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1,0,31.86,0.001,1,0,-3
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,1,0,28.87,0.001,1,0,-3
CCCCCC(CCC)C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,1,0,32.047,0.0008,1,0,-3.09691
CCCCCC(CCC)C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,1,0,32.139,0.0004,1,0,-3.39794
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],1,0,28,0.0004,1,0,-3.397940009
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1,0,32.175,0.0004,1,0,-3.397940009
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,1,0,28.73,0.0004,1,0,-3.397940009
CCCCCC(CCC)C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,1,0,31.806,0.0002,1,0,-3.69897
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1,0,31.625,0.0002,1,0,-3.698970004
CCCCCC(CCC)C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,1,0,31.608,0.0001,1,0,-4
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],1,0,33.705,0.0001,1,0,-4
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1,0,31.495,0.0001,1,0,-4
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,1,0,32.67,0.0001,1,0,-4
CCCCCC(CCC)C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,1,0,32.035,0.00008,1,0,-4.09691
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],1,0,35.43,0.00008,1,0,-4.096910013
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1,0,30.425,0.00008,1,0,-4.096910013
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,1,0,34.67,8.00E-05,1,0,-4.096910013
CCCCCC(CCC)C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,1,0,36.008,0.00004,1,0,-4.39794
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],1,0,38.055,0.00004,1,0,-4.397940009
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1,0,33.69,0.00004,1,0,-4.397940009
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,1,0,41.19,4.00E-05,1,0,-4.397940009
CCCCCC(CCC)C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,1,0,38.949,0.00002,1,0,-4.69897
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCCOS(=O)([O-])=O.[Na+],1,0,42.83,0.00002,1,0,-4.698970004
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO[H],CCCCCCCCCCCC[N+](C)(CC([O-])=O)C,1,0,45.365,0.00002,1,0,-4.698970004
CCCCCC(CCC)C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1,CC(C)(CC(C)(C1=CC=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C=C1)C)C,1,0,45.731,0.00001,1,0,-5
