Emission/nm,smiles1,solvent,smiles2,y
578,CN(C)C(S1)=NC(C2=CC=C(Br)C=C2)=C1C3=CC=C([N+]([O-])=O)S3,Toluene ,CC1=CC=CC=C1,0.578
585,CN(C)C(S1)=NC(C2=CC=C(C)C=C2)=C1C3=CC=C([N+]([O-])=O)S3,Toluene ,CC1=CC=CC=C1,0.585
580,O=[N+](C1=CC=C(C2=C(N=C(N(CC)CC)S2)C3=CC=C(Br)C=C3)S1)[O-],Toluene ,CC1=CC=CC=C1,0.58
583,CC(C=C1)=CC=C1C(N=C(N(CC)CC)S2)=C2C3=CC=C([N+]([O-])=O)S3,Toluene ,CC1=CC=CC=C1,0.583
586,CC(C=C1)=CC=C1C(N=C(N2CCCCC2)S3)=C3C4=CC=C([N+]([O-])=O)S4,Toluene ,CC1=CC=CC=C1,0.586
576,BrC(C=C1)=CC=C1C(N=C(N2CCOCC2)S3)=C3C4=CC=C([N+]([O-])=O)S4,Toluene ,CC1=CC=CC=C1,0.576
581,CC(C=C1)=CC=C1C(N=C(N2CCOCC2)S3)=C3C4=CC=C([N+]([O-])=O)S4,Toluene ,CC1=CC=CC=C1,0.581
578,O=[N+](C1=CC=C(C2=C(C3=CC=CO3)N=C(N4CCOCC4)S2)S1)[O-],Toluene ,CC1=CC=CC=C1,0.578
578,BrC(C=C1)=CC=C1C(N=C(N(C2=CC=CC=C2)C3=CC=CC=C3)S4)=C4C5=CC=C([N+]([O-])=O)S5,Toluene ,CC1=CC=CC=C1,0.578
578,CC(C=C1)=CC=C1C(N=C(N(C2=CC=CC=C2)C3=CC=CC=C3)S4)=C4C5=CC=C([N+]([O-])=O)S5,Toluene ,CC1=CC=CC=C1,0.578
593,O=[N+](C1=CC=C(C2=C(C3=CC=CS3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)S1)[O-],Toluene ,CC1=CC=CC=C1,0.593
573,O=[N+](C1=CC=C(C2=C(C3=CC=CO3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)S1)[O-],Toluene ,CC1=CC=CC=C1,0.573
575,O=[N+](C1=CC=C(C2=C(C3=CC4=C(C=CC=C4)O3)N=C(N(C5=CC=CC=C5)C6=CC=CC=C6)S2)S1)[O-],Toluene ,CC1=CC=CC=C1,0.575
544,CCN(CC)C(S1)=NC(C2=CC=CC=C2)=C1C3=CC=C([N+]([O-])=O)O3,Toluene ,CC1=CC=CC=C1,0.544
551,O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N4CCCCC4)S2)O1)[O-],Toluene ,CC1=CC=CC=C1,0.551
543,O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N4CCOCC4)S2)O1)[O-],Toluene ,CC1=CC=CC=C1,0.543
547,O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)O1)[O-],Toluene ,CC1=CC=CC=C1,0.547
716,F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C(C3=CC(OC)=CC(OC)=C3)=C(C4=CC=C(OC)C=C4)C1=N5)(F)N6C5=C(C7=CC=C(OC)C=C7)C(C8=CC(OC)=CC(OC)=C8)=C6C9=CC=C(OC)C=C9,toluene,CC1=CC=CC=C1,0.716
716,F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C(C3=CC(OC)=CC(OC)=C3)=C(C4=CC=C(OCCCCCC)C=C4)C1=N5)(F)N6C5=C(C7=CC=C(OCCCCCC)C=C7)C(C8=CC(OC)=CC(OC)=C8)=C6C9=CC=C(OC)C=C9,toluene,CC1=CC=CC=C1,0.716
