smiles,IE
CN(C)c1ccc(C=O)cc1,7.3
C=C=CC#N,10.1
ClSSCl,9.66
Brc1cccs1,8.66
N#Cc1cccs1,9.83
C=CC=COC,8.03
CC=C1CCCCC1,8.44
BrCc1ccccc1,8.99
CCc1ccccc1,8.77
C=Cc1ccccc1,8.46
Cc1cc(=O)cc(C)o1,9.03
COc1c(C)cccc1C,8.1
N#Cc1ccccc1,9.73
O=Cc1ccccc1,9.5
CN(C)c1cc[n+]([O-])cc1,7
C1=CC2C3C=CC1C=CC23,8.09
CCC=Cc1ccccc1,8
CNc1ccccc1,7.32
COc1ccccc1,8.2
CSc1ccccc1,7.94
OC(c1ccccc1)C1CC1,8.31
CN(C)c1cccc2c(N(C)C)cccc12,6.7
CSc1ccc(SC)c2ccccc12,7.4
CSc1cccc2c(SC)cccc12,7.3
COc1ccccc1C=CC(=O)O,8.5
CC(C)(C)c1ccc(C(C)(C)C)cc1,8.24
CC(C)(C)c1ccccc1C(C)(C)C,8.6
O=S1c2ccccc2-c2ccccc21,8.1
C#CSC,8.3
C=CCSC,8.6
O=S1(=O)c2ccccc2-c2ccccc21,8.9
c1ccc(Oc2ccccc2)cc1,8.09
C1CCC2OCCC2C1,9
BrC1CCCC1Br,10.06
C(=Cc1ccccc1)c1ccccc1,7.66
CCCc1ccccc1,8.71
O=C=Nc1ccccc1,8.77
O=C(O)Cc1ccccc1,8.26
CN(C)Cc1ccccc1,7.69
C#CC(=C)O,8.92
[O-][n+]1c2ccccc2cc2ccccc21,7.45
CCCC=CCCCC,8.8
CCCC=CCCCC,8.81
C#CC=CC=C,9.2
C#CCC#CC,9.5
CCCCc1ccccc1,8.69
C=C1C2=CC=CC=C1C=CC=C2,7.5
c1ccc([Ge](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,8.1
c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,8.5
COc1ccc(Br)cc1,8.13
COc1ccc(C)cc1,7.9
CC(C)CS(=O)(=O)CC(C)C,9.54
ON=C1CCCCCCC1Cl,9.19
CCc1ccc(CC)cc1,8.4
[CH2]N,6.29
FC(F)(F)C#CC#CC(F)(F)F,10.99
CNc1ccc(C(=O)O)cc1,7.3
COc1ccccc1C=CC(C)=O,8.2
CCC(C)OC(C)=O,9.9
CC(C)C=CC(C)C,8.85
C=C=CC=C,8.88
CCC(C)=C(C)C,8.21
CCCCC(=O)CC,9.15
Brc1ccc(Br)cc1,8.82
Cc1ccc(Br)cc1,8.68
Cc1ccc(C)cc1,8.44
Cc1ccc(Cl)cc1,8.69
Cc1ccc(O)cc1,8.34
Clc1ccc(Cl)cc1,8.92
Nc1ccc(N)cc1,6.87
O=C1C=CC(=O)C=C1,10
c1ccc2c(c1)c1c3ccccc3c3c4ccccc4c4c5ccccc5c5c6ccccc6c6c7ccccc7c2c2c1c3c4c5c62,6.75
BrCCBr,10.35
CCCBr,10.18
CCCC,10.53
C=CCC,9.55
C=CC=C,9.07
C#CCC,10.18
C=CC=O,10.11
CCCS,9.2
ClCCBr,10.57
C=CCCl,10.05
ClCCCl,11.07
C#CC#N,11.62
CCCI,9.26
CCC#N,11.85
C=CC#N,10.91
C=CCO,9.67
C#CCO,10.5
N#CC#CC#N,11.81
O=CC=O,10.2
CC1CS1,8.85
CN1CC1,8.7
C[Si]1(C)CCCC1,9
C=COC,8.95
O=C1CCSCC1,8.9
C1=CCCCC=CC1,8.5
COC=O,10.84
ON=C1CCCCCCC1,8.8
c1cc2c(c3c1CCC3)CCC2,8.09
CCCC(C)=O,9.38
CCCC(=O)O,10.17
CC=CC(=O)O,9.9
c1c2c(cc3c1CCCC3)CCCC2,7.86
CCC[N+](=O)[O-],10.78
C=COC(C)=O,9.2
CC(=O)CC(C)C,9.3
CC(C)OC(C)C,9.2
CC(=O)OC(C)C,9.99
Brc1cccc(Br)c1,9.01
Cc1cccc(C)c1,8.55
Cc1cccc(O)c1,8.29
Oc1cccc(Cl)c1,8.65
Cc1cccc(N)c1,7.54
Cc1cccc(C)n1,8.86
Cc1cc(C)cc(C)c1,8.4
Clc1cc(Cl)cc(Cl)c1,9.3
CN1CN(C)CN(C)C1,7.6
CC(C)CC(=O)CC(C)C,9.01
BrC1CCCCC1,9.87
Brc1ccccc1,9
CC1CCCCC1,9.64
Cc1ccccc1,8.83
Clc1ccccc1,9.07
O=C1CCCCC1,9.16
Oc1ccccc1,8.49
Sc1ccccc1,8.3
Cc1cccnc1,9
Brc1ccccn1,9.7
CC1CCCCN1,7.9
Clc1ccccn1,9
CCCCBr,10.13
CCCCC,10.28
C=CCCC,9.49
CCCCCl,10.64
CCCCN,8.73
C=CCC#N,10.2
N#CCC#N,12.8
CCCCS,9.14
CCOC=O,10.61
c1cc[nH]c1,8.21
C1CCOC1,9.4
c1ccoc1,8.88
C1CCSC1,8.38
c1ccsc1,8.86
CN(C)CCN(C)C,7.59
CCCCCC(C)=O,9.27
CCCCCBr,10.1
CCCCCC,10.13
CCCCC=O,9.74
COCCOC,9.3
CCCOC=O,10.54
C1CCCCC1,9.88
C1=CCCCC1,8.94
c1ccncc1,9.26
C1=COCCC1,8.35
C1CCNCC1,8.03
C[SiH2]C,10.3
