Absorption/nm,smiles1,solvent,smiles2,y
464,CN(C)C(S1)=NC(C2=CC=C(Br)C=C2)=C1C3=CC=C([N+]([O-])=O)S3,Toluene ,CC1=CC=CC=C1,0.464
471,CN(C)C(S1)=NC(C2=CC=C(C)C=C2)=C1C3=CC=C([N+]([O-])=O)S3,Toluene ,CC1=CC=CC=C1,0.471
471,O=[N+](C1=CC=C(C2=C(N=C(N(CC)CC)S2)C3=CC=C(Br)C=C3)S1)[O-],Toluene ,CC1=CC=CC=C1,0.471
477,CC(C=C1)=CC=C1C(N=C(N(CC)CC)S2)=C2C3=CC=C([N+]([O-])=O)S3,Toluene ,CC1=CC=CC=C1,0.477
474,CC(C=C1)=CC=C1C(N=C(N2CCCCC2)S3)=C3C4=CC=C([N+]([O-])=O)S4,Toluene ,CC1=CC=CC=C1,0.474
456,BrC(C=C1)=CC=C1C(N=C(N2CCOCC2)S3)=C3C4=CC=C([N+]([O-])=O)S4,Toluene ,CC1=CC=CC=C1,0.456
465,CC(C=C1)=CC=C1C(N=C(N2CCOCC2)S3)=C3C4=CC=C([N+]([O-])=O)S4,Toluene ,CC1=CC=CC=C1,0.465
461,O=[N+](C1=CC=C(C2=C(C3=CC=CO3)N=C(N4CCOCC4)S2)S1)[O-],Toluene ,CC1=CC=CC=C1,0.461
457,BrC(C=C1)=CC=C1C(N=C(N(C2=CC=CC=C2)C3=CC=CC=C3)S4)=C4C5=CC=C([N+]([O-])=O)S5,Toluene ,CC1=CC=CC=C1,0.457
461,CC(C=C1)=CC=C1C(N=C(N(C2=CC=CC=C2)C3=CC=CC=C3)S4)=C4C5=CC=C([N+]([O-])=O)S5,Toluene ,CC1=CC=CC=C1,0.461
465,O=[N+](C1=CC=C(C2=C(C3=CC=CS3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)S1)[O-],Toluene ,CC1=CC=CC=C1,0.465
465,O=[N+](C1=CC=C(C2=C(C3=CC=CO3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)S1)[O-],Toluene ,CC1=CC=CC=C1,0.465
464,O=[N+](C1=CC=C(C2=C(C3=CC4=C(C=CC=C4)O3)N=C(N(C5=CC=CC=C5)C6=CC=CC=C6)S2)S1)[O-],Toluene ,CC1=CC=CC=C1,0.464
459,CCN(CC)C(S1)=NC(C2=CC=CC=C2)=C1C3=CC=C([N+]([O-])=O)O3,Toluene ,CC1=CC=CC=C1,0.459
455,O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N4CCCCC4)S2)O1)[O-],Toluene ,CC1=CC=CC=C1,0.455
447,O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N4CCOCC4)S2)O1)[O-],Toluene ,CC1=CC=CC=C1,0.447
446,O=[N+](C1=CC=C(C2=C(C3=CC=CC=C3)N=C(N(C4=CC=CC=C4)C5=CC=CC=C5)S2)O1)[O-],Toluene ,CC1=CC=CC=C1,0.446
683,F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C(C3=CC(OC)=CC(OC)=C3)=C(C4=CC=C(OC)C=C4)C1=N5)(F)N6C5=C(C7=CC=C(OC)C=C7)C(C8=CC(OC)=CC(OC)=C8)=C6C9=CC=C(OC)C=C9,toluene,CC1=CC=CC=C1,0.683
683,F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C(C3=CC(OC)=CC(OC)=C3)=C(C4=CC=C(OCCCCCC)C=C4)C1=N5)(F)N6C5=C(C7=CC=C(OCCCCCC)C=C7)C(C8=CC(OC)=CC(OC)=C8)=C6C9=CC=C(OC)C=C9,toluene,CC1=CC=CC=C1,0.683
684,F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C(C3=CC=C(C(C)(C)C)C=C3)=C(C4=CC=C(OCCCCCC)C=C4)C1=N5)(F)N6C5=C(C7=CC=C(OCCCCCC)C=C7)C(C8=CC=C(C(C)(C)C)C=C8)=C6C9=CC=C(OC)C=C9,toluene,CC1=CC=CC=C1,0.684
804,F[B-]([N+]1=C(C2=CC=C(OC)C=C2C3=C4C=C(OC)C=C3OC)C4=C(C5=CC=C(OC)C=C5)C1=N6)(F)N7C6=C(C8=CC=C(OC)C=C8)C(C9=CC(OC)=CC(OC)=C9%10)=C7C%11=C%10C=C(OC)C=C%11,toluene,CC1=CC=CC=C1,0.804
804,F[B-]([N+]1=C(C2=CC=C(OC)C=C2C3=C4C=C(OC)C=C3OC)C4=C(C5=CC=C(OCCCCCC)C=C5)C1=N6)(F)N7C6=C(C8=CC=C(OCCCCCC)C=C8)C(C9=CC(OC)=CC(OC)=C9%10)=C7C%11=C%10C=C(OC)C=C%11,toluene,CC1=CC=CC=C1,0.804
790,F[B-]([N+]1=C(C2=CC=C(OC)C=C2C3=C4C=CC(C(C)(C)C)=C3)C4=C(C5=CC=C(OCCCCCC)C=C5)C1=N6)(F)N7C6=C(C8=CC=C(OCCCCCC)C=C8)C(C9=CC=C(C(C)(C)C)C=C9%10)=C7C%11=C%10C=C(OC)C=C%11,toluene,CC1=CC=CC=C1,0.79
513,O=C(C1=C2C(C3=CC(NCC=C)=C24)=C(C(N(CC=C)C3=O)=O)C=C1)N(CC=C)C4=O,toluene,CC1=CC=CC=C1,0.513
601,O=C(C1=C2C(C3=CC(NCC=C)=C24)=C(C(N(CC=C)C3=O)=O)C(NC=C)=C1)N(CC=C)C4=O,toluene,CC1=CC=CC=C1,0.601
344,C12=CC=CC3=C1C(C(C=C2)=CC=C4C5=CC=NC=C5)=C4C=C3,toluene,CC1=CC=CC=C1,0.344
338,C12=CC=CC3=C1C(C(C=C2)=CC(C4=CC=NC=C4)=C5)=C5C=C3,toluene,CC1=CC=CC=C1,0.338
338,C12=CC=CC3=C1C(C(C=C2)=CC(C4=NC=CC=C4)=C5)=C5C=C3,toluene,CC1=CC=CC=C1,0.338
340,C12=CC=CC3=C1C(C(C(C4=CC=NC=C4)=C2)=CC=C5)=C5C=C3,toluene,CC1=CC=CC=C1,0.34
358,C12=C(C3=CC=NC=C3)C=CC4=C1C(C(C=C2)=CC=C5C6=CC=NC=C6)=C5C=C4,toluene,CC1=CC=CC=C1,0.358
340,C12=CC(C3=CC=NC=C3)=CC4=C1C(C(C=C2)=CC(C5=CC=NC=C5)=C6)=C6C=C4,toluene,CC1=CC=CC=C1,0.34
342,C12=CC(C3=NC=CC=C3)=CC4=C1C(C(C=C2)=CC(C5=CC=CC=N5)=C6)=C6C=C4,toluene,CC1=CC=CC=C1,0.342
346,C12=CC=CC3=C1C(C(C(C4=CC=NC=C4)=C2)=CC=C5)=C5C=C3C6=CC=NC=C6,toluene,CC1=CC=CC=C1,0.346
344,C12=CC=CC3=C1C(C(C(C4=CC=NC=C4)=C2)=CC=C5)=C5C(C6=CC=NC=C6)=C3,toluene,CC1=CC=CC=C1,0.344
372,CCCCC1=C(C=C2)C3=C(C(C4=CC=NC=C4)=C1)C=CC5=C3C2=C(C6=CC=NC=C6)C=C5CCCC,toluene,CC1=CC=CC=C1,0.372
745,F[B-]1(F)N2C(C3=CC=C(C#CC4=CC=C(N(C)C)C=C4)C=C3)=CC(C5=CC=CC=C5)=C2N=C6C(C7=CC=CC=C7)=CC(C8=CC=C(C#CC9=CC=C(N(C)C)C=C9)C=C8)=[N+]16,toluene,CC1=CC=CC=C1,0.745
368,C1(C2=CC=C(N3C4=C(C5=C3C=CC=C5)C=CC=C4)C=C2)=NC6=C(C=CC=C6)N=C1C7=CC=C(N8C9=C(C%10=C8C=CC=C%10)C=CC=C9)C=C7,toluene,CC1=CC=CC=C1,0.368
400,CC(C1=C2C=CC=C1)(C)C3=C(C=CC=C3)N2C(C=C4)=CC=C4C5=NC6=C(C=CC=C6)N=C5C7=CC=C(N8C(C=CC=C9)=C9C(C)(C)C%10=C8C=CC=C%10)C=C7,toluene,CC1=CC=CC=C1,0.4
414,CC(C1=C2C=CC=C1)(C)C3=C(C=CC=C3)N2C(C=C4)=CC=C4C5=NC6=C(C=NC=C6)N=C5C7=CC=C(N8C(C=CC=C9)=C9C(C)(C)C%10=C8C=CC=C%10)C=C7,toluene,CC1=CC=CC=C1,0.414
