SMILES,pCMC
CCCCCCCCCCCCCCCC(=O)NC1CCOC1=O,6.795880017
COCCCOCCNC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.523023534
CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)COC1OC(CO)C(O)C(O)C1O.[Cl-],6.320572103
CCCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)COC1OC(CO)C(O)C(O)C1O.[Cl-],6.300162274
CCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCC)(C[N+](C)(C)C)C[N+](C)(C)C.[I-].[I-],6.148741651
CCCCCCCCCCCCCCCCCC[N+](C)(C)CCSCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-].[Br-],6
CCCCCCCCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCCOCC,5.921180817
CCCCCCCCCCCC[N+](CC)CC(C)O.[Br-],5.886056648
CCCCCCCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-].[Br-],5.853871964
CCCCCCCCCCCC[N+]CC(C)O.[Br-],5.779891912
CCCCCCCCCCCCCCCC(O)OCCOCCOCCOCCOCCOCC,5.779891912
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,5.779891912
CCCCCCCCCCCCCCCCOOCCOCCOCCOCCOCCOCC,5.779891912
CCCCCCCCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCC,5.770062314
CCCCCCCCCCCCCCCC(O)OCCOCCOCCOCCOCCOCCOCC,5.769551079
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,5.769551079
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.698970004
CCCCCCCCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC,5.698970004
CCCCCCCCCCCC[N+]CC(C)O.[Cl-],5.692503962
CCCCCCCCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCCOCCOCC,5.677987561
CCCCCCCCCCCC(O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC,5.677780705
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.677780705
CCCCCCCCCCCCOCC(COCCCCCCCCCCCC)(C[N+](C)(C)C)C[N+](C)(C)C.[I-].[I-],5.663540266
CCCCCCCCCCCC(O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC,5.638272164
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.638272164
CCCCCCCCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC,5.638083381
CCCCCCCCCCCC[N+](C)CC(C)O.[I-],5.585026652
CCCCCCCCCCCCCCCCCCN(C)C(=O)COCOCOCO,5.54515514
CCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCC)(COCC[N+](C)(C)C)COCC[N+](C)(C)C.[I-].[I-],5.543633967
CCCCCCCC=CCCCCCCCCC(=O)NCCC[N+](C)(C)CC=CC[N+](C)(C)CCCNC(=O)CCCCCCCC=CCCCCCCCC.[Cl-].[Cl-],5.536107011
CCCCCCCCCCCCCCCCOCC(O)C[N+](C)(C)CCCC[N+](C)(C)CC(O)COCCCCCCCCCCCCCCCC.[Br-].[Br-],5.522878745
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.522878745
CCCCCCCCCCCCCCOCC(CC[N+](C)(C)C)(CC[N+](C)(C)C)COCCCCCCCCCCCCCC.[I-].[I-],5.515700161
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.508638306
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.508638306
CCCCCCCCCCCCCCOCC(COCCCCCCCCCCCCCC)(COCCC[N+](C)(C)C)COCCC[N+](C)(C)C.[I-].[I-],5.500312917
CCCCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,5.48148606
CCCCCCCCCCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,5.48148606
CCCCCCCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCCOCC,5.456056058
CCCCCCCCCCCCCCC(O)OCCOCCOCCOCCOCCOCCOCCOCC,5.455931956
CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.455931956
CCCCCCCCCCCCN(CCCNC(=O)C(O)C(O)C(O)C(O)CO)CCN(CCCCCCCCCCCC)CCCNC(=O)C(O)C(O)C(O)C(O)CO,5.420216403
CCCCCCCCCCCCNCC(=O)NCOCC(CO)OCC(O)COCCCCCCCCCCCCNCC(=O)NCOCC(CO)OCC(O)COCC,5.419987887
CCCCCCCCCCCCCCCC[N+](CCC)(CCC)CCCC[N+](CCC)(CCC)CCCCCCCCCCCCCCCC.[Br-].[Br-],5.408935393
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.408935393
CCCCCCCCCCCCOCCOCCOCCOCCO,5.397940009
CCCCCCCCCCCC(=O)NC1CCOC1=O,5.397940009
CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCOC(=O)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],5.37161107
CCCCCCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,5.3188
CCCCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCC,5.301
CCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCOC1OC(CO)C(O)C(O)C1O.[Cl-],5.300162274
CCCCCCCCCCCCCCCCCCC(O)[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,5.292004254
CCCCCCCCCCCCN(CCCNC(=O)C(O)C(O)C(O)C(O)C(O)CO)CCN(CCCCCCCCCCCC)CCCNC(=O)C(O)C(O)C(O)C(O)C(O)CO,5.283996656
CCCCCCCCCCCCNCC(=O)NCOCC(O)C(O)C(O)COCCCCCCCCCCCCNCC(=O)NCOCC(O)C(O)C(O)COCC,5.283996656
CCCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CCOC1OC(CO)C(O)C(O)C1O.[Cl-],5.279840697
CCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCC,5.2757
CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCC,5.2596
CCCCCCCCCCCCCCCCCC(=O)NC(O)[C@H]1O[C@@H](O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO)[C@H](O)[C@@H](O)[C@H]1O,5.250263684
CCCCCCCCCCCCCCOCC(CCC[N+](C)(C)C)(CCC[N+](C)(C)C)COCCCCCCCCCCCCCC.[I-].[I-],5.22184875
CCCCCCCCCCCCCCCC[N+](C)(C)CC(O)COc1ccc(OCC(O)C[N+](C)(C)CCCCCCCCCCCCCCCC)cc1.[Cl-].[Cl-],5.22184875
CCCCCCCCCCCCCC[N+](C)(C)CCOP(=O)([O-])OCCCCCCCC,5.2147
CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)OCCN(CCOC(=O)C[N+](C)(C)CCCCCCCCCC)CCOC(=O)C[N+](C)(C)CCCCCCCCCC.[Br-].[Br-].[Br-],5.207608311
CCCCCCC(CCCCCCCOC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O)C(CC)SCCC,5.200659451
CCCCCCCCCCCCCC[N+](C)(C)CCN(CC[N+](C)(C)CCCCCCCCCCCCCC)CC[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-].[Br-],5.189095719
CCCCCCCCCCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],5.180456064
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.15490196
CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCCCC,5.1549
CCCCCCCCCCCCCCCCOCOC[C@H]1O[C@@H](O[C@@H]([C@H](O)[C@@H](O)CO)[C@H](O)CO)[C@H](O)[C@@H](O)[C@H]1O,5.119987162
CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCC,5.0969
CCCCCCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCCOCC,5.045998832
CCCCCCCCCCCCCCOOCCOCCOCCOCCOCCOCCOCCOCCOCC,5.045998832
CCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)CCCCCCCCCCCC,5.0458
CCCCCCCCCCCCCCCCOc1ccc(NC(=O)C[N+](C)(C)CCCC[N+](C)(C)CC(=O)Nc2ccc(OCCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],5.045757491
CCCCCCCCCCCCCC(O)OCCOCCOCCOCCOCCOCCOCCOCC,5.045757491
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,5.045757491
CCCCCCCCCCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](C)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,5.031517051
